"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"popr[17]",65951.4833028984,69129.4798731953,70799.4803102504,72482.9612795071,75964.4137830243,"popr[17]",2000,"ANMU",6
"popr[18]",66403.1269291138,69584.4933384302,71227.074590292,72898.4708640975,76336.7052672917,"popr[18]",2001,"ANMU",6
"popr[19]",66780.2251711586,70020.0786633904,71667.375039727,73388.5263584036,76841.9794519553,"popr[19]",2002,"ANMU",6
"popr[20]",67208.8482123907,70453.5922016353,72194.9664522833,73997.5202555533,77503.8175014514,"popr[20]",2003,"ANMU",6
"popr[21]",67772.3998274716,71028.4089047632,72863.4773156741,74755.8687221014,78386.5001543032,"popr[21]",2004,"ANMU",6
"popr[22]",68407.7444270365,71797.415130571,73670.2075871551,75617.9784333786,79378.5214763043,"popr[22]",2005,"ANMU",6
"popr[23]",69332.7534992125,72744.5768034426,74654.3915896087,76658.0929602411,80484.7278484148,"popr[23]",2006,"ANMU",6
"popr[24]",70396.7721768262,73908.6429537729,75813.7453103355,77838.7204885157,81657.9006575381,"popr[24]",2007,"ANMU",6
"popr[25]",71668.7280831196,75209.0408418201,77084.5920994624,79108.8437632834,83011.4760483924,"popr[25]",2008,"ANMU",6
"popr[26]",73052.7930422678,76577.9424120628,78457.0099626694,80481.4290342342,84500.2711950984,"popr[26]",2009,"ANMU",6
"popr[27]",74388.1125777905,77964.3565090113,79890.7876678858,81933.1799989228,86066.5453396544,"popr[27]",2010,"ANMU",6
"popr[28]",75633.3953030767,79298.1937851428,81263.7254112708,83375.4037332007,87644.1850115121,"popr[28]",2011,"ANMU",6
"popr[29]",76783.7966857861,80476.8260131238,82520.0679591328,84713.2276756352,89129.901852196,"popr[29]",2012,"ANMU",6
"popr[30]",77700.3834080164,81499.4847055727,83601.5212682422,85858.1676544951,90335.8048370786,"popr[30]",2013,"ANMU",6
"popr[31]",78333.5698728346,82328.7859274514,84471.6742710943,86781.1079002382,91373.0341992704,"popr[31]",2014,"ANMU",6
