"","index.lci","X25.","index","X75.","index.uci","node","year","species","nknots"
"pop[20]",46.0900538077062,47.5653533660852,48.2882925501761,48.9943933552939,50.4244618805395,"pop[20]",2003,"ANMU",6
"pop[21]",46.5153476632192,47.9757749099794,48.7235483153906,49.4483887114939,50.9131478971051,"pop[21]",2004,"ANMU",6
"pop[22]",47.0001730695412,48.5019478297539,49.2551282282148,50.0071365652615,51.4797016338525,"pop[22]",2005,"ANMU",6
"pop[23]",47.6546421262306,49.1572090807402,49.9071665405811,50.6695528781964,52.1627528329122,"pop[23]",2006,"ANMU",6
"pop[24]",48.4995672098578,49.9368311621576,50.6785000520791,51.4307073238094,52.9008804792354,"pop[24]",2007,"ANMU",6
"pop[25]",49.4186791082147,50.8173435429115,51.5406212950742,52.2798655843594,53.756235281408,"pop[25]",2008,"ANMU",6
"pop[26]",50.3675165341554,51.7368851735981,52.4533509407021,53.1976964880133,54.7456980596699,"pop[26]",2009,"ANMU",6
"pop[27]",51.2399300714795,52.6435490350641,53.3973925868511,54.1677763061899,55.8438234551192,"pop[27]",2010,"ANMU",6
"pop[28]",52.0186144078568,53.5108068488535,54.321602712055,55.1358368259713,56.9714946084809,"pop[28]",2011,"ANMU",6
"pop[29]",52.6313109295323,54.2913128816844,55.1667514360735,56.0456948757936,57.9622476297203,"pop[29]",2012,"ANMU",6
"pop[30]",53.1796573380959,54.974767966811,55.8984734642325,56.8402197152057,58.7882594889194,"pop[30]",2013,"ANMU",6
"pop[31]",53.5757495115176,55.5123186352933,56.4896766825235,57.4638908706628,59.4736905164922,"pop[31]",2014,"ANMU",6
"pop[32]",53.7852053489803,55.839694087901,56.8894739165584,57.9558340919051,60.1698464300381,"pop[32]",2015,"ANMU",6
"pop[33]",53.6269375058292,55.9389364988749,57.1638223970549,58.4097040953315,60.9796535887582,"pop[33]",2016,"ANMU",6
"pop[34]",52.887355357049,55.8474898597844,57.3680629689492,58.8623134399217,61.9009603283794,"pop[34]",2017,"ANMU",6
"pop[35]",51.7242407232537,55.6837765142493,57.5577458229612,59.3197964940642,62.9039426730861,"pop[35]",2018,"ANMU",6
"pop[36]",50.4698906336595,55.4565509749154,57.7142181819399,59.8081545041216,64.0085714570576,"pop[36]",2019,"ANMU",6
"pop[1]1",56.5048344027861,61.8816768727158,64.8283607357025,67.8878901284295,74.2236008472041,"pop[1]",1984,"CAAU",6
"pop[2]1",59.8766602741598,64.4154699579199,66.8405606993653,69.3608864293293,74.5619891735072,"pop[2]",1985,"CAAU",6
"pop[3]1",62.7965515780764,66.7808232813385,68.8948297708304,71.0788122437703,75.4110726091977,"pop[3]",1986,"CAAU",6
"pop[4]1",64.958861463748,68.8481578071622,70.8954072678805,73.0236167110711,77.0886696435949,"pop[4]",1987,"CAAU",6
"pop[5]1",66.3163476302906,70.49771977582,72.7369071122578,75.0284083119214,79.5855246774655,"pop[5]",1988,"CAAU",6
"pop[6]1",67.2550180933728,71.7518284199709,74.2480331370573,76.8176310504577,82.0002709645332,"pop[6]",1989,"CAAU",6
"pop[7]1",67.8700671292897,72.6455236314808,75.3566459828006,78.1275223834662,83.787080572773,"pop[7]",1990,"CAAU",6
"pop[8]1",68.2367579426846,73.1025521262068,75.925812431426,78.7649449746112,84.6454512981271,"pop[8]",1991,"CAAU",6
"pop[9]1",68.222478910031,73.0404871250869,75.8860971243721,78.7086412904868,84.4899263330256,"pop[9]",1992,"CAAU",6
"pop[10]1",67.7579868992054,72.4571697107691,75.152676367102,77.8826211259583,83.4218012826061,"pop[10]",1993,"CAAU",6
"pop[11]1",66.7808968144474,71.2419564525237,73.787127492147,76.3932534232699,81.6607456150269,"pop[11]",1994,"CAAU",6
"pop[12]1",65.1293885329525,69.4221026190658,71.8242674951343,74.3386392539074,79.365387163577,"pop[12]",1995,"CAAU",6
"pop[13]1",63.01037918302,67.0943206880899,69.4037111180016,71.7922677955701,76.7049534458187,"pop[13]",1996,"CAAU",6
"pop[14]1",60.57718032591,64.4904513917352,66.6752081967576,68.9588536716881,73.635539595204,"pop[14]",1997,"CAAU",6
"pop[15]1",57.9953926773302,61.7723060737449,63.8115532076699,65.9695904620462,70.3281786890731,"pop[15]",1998,"CAAU",6
"pop[16]1",55.6362539545077,59.1404046408931,61.0148749765094,62.9935338318785,66.9826648742697,"pop[16]",1999,"CAAU",6
"pop[17]1",53.4276904313132,56.7053119271903,58.4306861969041,60.2215855280786,63.8525401016269,"pop[17]",2000,"CAAU",6
"pop[18]1",51.6361326780186,54.6451288606918,56.2332418319025,57.8394387530755,61.1086237142239,"pop[18]",2001,"CAAU",6
"pop[19]1",50.2625935566696,53.0265956070079,54.5029258711691,55.9911407891642,59.0309615171223,"pop[19]",2002,"CAAU",6
"pop[20]1",49.2450718936264,51.9096589015879,53.3170919296424,54.7731187111007,57.6062615396408,"pop[20]",2003,"CAAU",6
"pop[21]1",48.7554246444809,51.356696183529,52.7103788245991,54.1653409680347,56.9383640718452,"pop[21]",2004,"CAAU",6
"pop[22]1",48.7873695499486,51.3737691634799,52.6955569663497,54.1243978043391,56.8322169747015,"pop[22]",2005,"CAAU",6
"pop[23]1",49.4406436479872,51.9243865802297,53.256652015992,54.6251860881677,57.2287554509335,"pop[23]",2006,"CAAU",6
"pop[24]1",50.5455545263877,52.9628606935831,54.2782991539577,55.6011215787024,58.1220530858812,"pop[24]",2007,"CAAU",6
"pop[25]1",52.0438545924811,54.3981488506242,55.6742749870542,56.9688796453142,59.4689235498629,"pop[25]",2008,"CAAU",6
